Kompyte,https://www.crunchbase.com/organization/kompyte,http://www.kompyte.com,https://www.linkedin.com/company/kompyte,"Kompyte is a competitor tracking software that enables businesses to collect, analyze, and act on competitive changes in their market."
Samsara,https://www.crunchbase.com/organization/samsara-2,http://www.samsara.com,https://www.linkedin.com/company/samsara/,Samsara helps businesses in harnessing IoT data to develop actionable business insights and improve their operations.
Alloy,https://www.crunchbase.com/organization/alloy-3,https://alloy.ai,https://www.linkedin.com/company/alloy-inc/,Alloy equips consumer goods brands to adapt quickly to change by aligning execution and planning to real-time consumer demand.
ClearStory Data,https://www.crunchbase.com/organization/clearstory-data,http://www.clearstorydata.com/,https://www.linkedin.com/company/clearstory-data,"ClearStory Data provides solutions enabling business users to discover, analyze and consume data at scale from different data sources."
Owler,https://www.crunchbase.com/organization/owler,https://www.owler.com,https://www.linkedin.com/company/owler,Owler is a business information and insights platform that provides company data and real-time news updates on various companies.
Cascade,https://www.crunchbase.com/organization/cascade-io,https://www.cascade.io/,https://www.linkedin.com/company/cascadeio/,Cascade helps operations teams automate their data workflows.
Alembic,https://www.crunchbase.com/organization/alembic-6007,http://getalembic.com,https://www.linkedin.com/company/getalembic,"SaaS, Marketing, Analytics"
Compology,https://www.crunchbase.com/organization/compology,http://www.compology.com,https://www.linkedin.com/company/compology,Compology is building technology focused on increasing efficiency and revenue growth for waste and recycling companies.
MicroAcquire,https://www.crunchbase.com/organization/microacquire,https://microacquire.com/,https://www.linkedin.com/company/microacquire/,MicroAcquire is a startup acquisition marketplace that helps startups find buyers and get acquired.
Invisible AI,https://www.crunchbase.com/organization/invisible-ai,https://www.invisible.ai,https://www.linkedin.com/company/invisibleai/,Invisible AI is a next-generation computer vision company.
Alteryx,https://www.crunchbase.com/organization/alteryx,http://alteryx.com,https://www.linkedin.com/company/903031,Alteryx is a leading provider of an end to end data science & analytics platform for the enterprise
Retail Solutions,https://www.crunchbase.com/organization/retail-solutions,http://www.retailsolutions.com,https://www.linkedin.com/company/35456,"Retail Solutions is a software firm providing SaaS products for data management, business intelligence, and point of sale applications."
Kubernetes,https://www.crunchbase.com/organization/kubernetes,https://kubernetes.io/,,"Kubernetes is an open-source system for automating deployment, scaling, and management of containerized applications."
Heap,https://www.crunchbase.com/organization/heap,https://heap.io,https://www.linkedin.com/company/heap-inc-,Heap is a platform that provides analytics infrastructure to reduce the annoying parts of user analytics.
Plate IQ,https://www.crunchbase.com/organization/plate-iq,http://plateiq.com,https://www.linkedin.com/company/plateiq,Plate IQ saves restaurants time and money by automating their invoice processing and accounts payable.
Avo,https://www.crunchbase.com/organization/avo-9a0c,https://www.avo.app/,https://www.linkedin.com/company/avohq/,"Avo is a next-gen analytics governance platform for PMs, devs, and data scientists to plan and govern their product analytics."
Measurabl,https://www.crunchbase.com/organization/measurabl,http://www.measurabl.com,https://www.linkedin.com/company/measurabl,"Measurabl is the world’s most widely adopted ESG (environmental, social, governance) data management solution for commercial real estate."
Datafold,https://www.crunchbase.com/organization/datafold,https://datafold.com,https://www.linkedin.com/company/datafold/,Data observability platform that helps Data Scientists and Data Engineers monitor and improve analytical data quality
Alation,https://www.crunchbase.com/organization/alation,http://alation.com,https://www.linkedin.com/company/alation,"Alation offers a machine learning data catalog to help people find, understand, and trust data across their organizations."
Guavus,https://www.crunchbase.com/organization/guavus,http://www.guavus.com,https://www.linkedin.com/company/guavus,Guavus is a big data analytics company developing apps that allow companies to embed data driven-decisions into agile businesses processes.
Seeloz,https://www.crunchbase.com/organization/seeloz-inc,http://www.seeloz.com,https://www.linkedin.com/company/seeloz-inc-/,"At Seeloz, we find purpose in harnessing and directing the power of artificial intelligence to help companies create supply chain value."
Dtex Systems,https://www.crunchbase.com/organization/dtex-systems,https://www.dtexsystems.com/,https://www.linkedin.com/company/113769,Dtex Systems utilizes user behavior intelligence to help enterprises detect cybersecurity threats without compromising privacy.
Craft.co,https://www.crunchbase.com/organization/craft,http://www.craft.co,https://www.linkedin.com/company/craft-machine,"Helping supply chain and procurement professionals discover, evaluate, and monitor suppliers to create stronger supply chain resilience."
Slintel,https://www.crunchbase.com/organization/slintel,https://www.slintel.com,https://www.linkedin.com/company/slintel,Slintel captures technographic-powered buying intent to help companies identify potential buyers in their target market.
Quarrio Corp.,https://www.crunchbase.com/organization/quarrio-corp,http://www.quarrio.com,https://www.linkedin.com/company/quarrio,Natural Language Business Intelligence – Ask questions in plain English and get answers in English with auto-generated graphs & charts.
Searchlight,https://www.crunchbase.com/organization/searchlight-057a,https://www.searchlight.ai/,https://www.linkedin.com/company/searchlight-technologies/,Searchlight is a people-centered Talent Intelligence Platform that helps companies build and retain winning teams.
Workday Adaptive Planning,https://www.crunchbase.com/organization/adaptive-insights,https://www.adaptiveplanning.com/,https://www.linkedin.com/company/29762,Workday Adaptive Planning is powering a new generation of business planning with the Business Planning Cloud.
Incorta,https://www.crunchbase.com/organization/incorta,http://www.incorta.com,https://www.linkedin.com/company/incorta,Incorta develops an analytics platform designed to speed up business data ingestion.
VideoAmp,https://www.crunchbase.com/organization/videoamp,http://videoamp.com,https://www.linkedin.com/company/videoamp,VideoAmp is a software and data company that provides measurement and optimization tools for the advertising ecosystem.
Meroxa,https://www.crunchbase.com/organization/meroxa,https://meroxa.com/,https://www.linkedin.com/company/meroxa/,Meroxa is a real-time data platform as a service that enables customers at any level of expertise to build pipelines in minutes.
SignalRank Corporation,https://www.crunchbase.com/organization/signalrank-corporation,https://signalrank.co,https://www.linkedin.com/company/signalrank,SignalRank is a FinTech that allocates capital to seed stage managers leveraging data analytics
UrbanFootprint,https://www.crunchbase.com/organization/calthorpe-analytics,https://www.urbanfootprint.com,https://www.linkedin.com/company/urbanfootprint,"Urban, climate & community resilience data platform providing critical intelligence to institutions investing in the world’s infrastructure"
Stitch Labs,https://www.crunchbase.com/organization/stitch-labs,https://www.stitchlabs.com,https://www.linkedin.com/company/stitch-labs-inc-,"Stitch Labs provides software that simplifies commerce, decisions, and life for brands."
PopSQL,https://www.crunchbase.com/organization/popsql,https://popsql.com,https://linkedin.com/company/popsql,"PopSQL is a modern, collaborative SQL editor for teams."
Hex Technologies,https://www.crunchbase.com/organization/hex-technologies-inc,https://hex.tech,,A platform for collaborative data analytics
